dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,registered,cnt
2011-04-13,Summer,2011,April,0,Wednesday,1,Mist/Cloudy,1953,2162
2011-04-14,Summer,2011,April,0,Thursday,1,Clear/Cloudy,2738,3267
2011-04-15,Summer,2011,April,1,Friday,0,Clear/Cloudy,2484,3126
2011-04-16,Summer,2011,April,0,Saturday,0,Light Snow/Light Rain/Cloudy,674,795
2011-04-17,Summer,2011,April,0,Sunday,0,Clear/Cloudy,2186,3744
2011-04-18,Summer,2011,April,0,Monday,1,Clear/Cloudy,2760,3429
2011-04-19,Summer,2011,April,0,Tuesday,1,Mist/Cloudy,2795,3204
2011-04-20,Summer,2011,April,0,Wednesday,1,Clear/Cloudy,3331,3944
2011-04-21,Summer,2011,April,0,Thursday,1,Clear/Cloudy,3444,4189
2011-04-22,Summer,2011,April,0,Friday,1,Mist/Cloudy,1506,1683
2011-04-23,Summer,2011,April,0,Saturday,0,Mist/Cloudy,2574,4036
2011-04-24,Summer,2011,April,0,Sunday,0,Mist/Cloudy,2481,4191
2011-04-25,Summer,2011,April,0,Monday,1,Clear/Cloudy,3300,4073
2011-04-26,Summer,2011,April,0,Tuesday,1,Clear/Cloudy,3722,4400
2011-04-27,Summer,2011,April,0,Wednesday,1,Mist/Cloudy,3325,3872
2011-04-28,Summer,2011,April,0,Thursday,1,Mist/Cloudy,3489,4058
2011-04-29,Summer,2011,April,0,Friday,1,Clear/Cloudy,3717,4595
2011-04-30,Summer,2011,April,0,Saturday,0,Clear/Cloudy,3347,5312
2011-05-01,Summer,2011,May,0,Sunday,0,Mist/Cloudy,2213,3351
2011-05-02,Summer,2011,May,0,Monday,1,Mist/Cloudy,3554,4401
2011-05-03,Summer,2011,May,0,Tuesday,1,Mist/Cloudy,3848,4451
2011-05-04,Summer,2011,May,0,Wednesday,1,Mist/Cloudy,2378,2633
2011-05-05,Summer,2011,May,0,Thursday,1,Clear/Cloudy,3819,4433
2011-05-06,Summer,2011,May,0,Friday,1,Clear/Cloudy,3714,4608
2011-05-07,Summer,2011,May,0,Saturday,0,Clear/Cloudy,3102,4714
2011-05-08,Summer,2011,May,0,Sunday,0,Clear/Cloudy,2932,4333
2011-05-09,Summer,2011,May,0,Monday,1,Clear/Cloudy,3698,4362
2011-05-10,Summer,2011,May,0,Tuesday,1,Clear/Cloudy,4109,4803
2011-05-11,Summer,2011,May,0,Wednesday,1,Clear/Cloudy,3632,4182
2011-05-12,Summer,2011,May,0,Thursday,1,Clear/Cloudy,4169,4864
2011-05-13,Summer,2011,May,0,Friday,1,Mist/Cloudy,3413,4105
2011-05-14,Summer,2011,May,0,Saturday,0,Mist/Cloudy,2507,3409
2011-05-15,Summer,2011,May,0,Sunday,0,Mist/Cloudy,2971,4553
2011-05-16,Summer,2011,May,0,Monday,1,Clear/Cloudy,3185,3958
2011-05-17,Summer,2011,May,0,Tuesday,1,Mist/Cloudy,3445,4123
2011-05-18,Summer,2011,May,0,Wednesday,1,Mist/Cloudy,3319,3855
2011-05-19,Summer,2011,May,0,Thursday,1,Mist/Cloudy,3840,4575
2011-05-20,Summer,2011,May,0,Friday,1,Clear/Cloudy,4008,4917
2011-05-21,Summer,2011,May,0,Saturday,0,Clear/Cloudy,3547,5805
2011-05-22,Summer,2011,May,0,Sunday,0,Clear/Cloudy,3084,4660
2011-05-23,Summer,2011,May,0,Monday,1,Mist/Cloudy,3438,4274
2011-05-24,Summer,2011,May,0,Tuesday,1,Mist/Cloudy,3833,4492
2011-05-25,Summer,2011,May,0,Wednesday,1,Clear/Cloudy,4238,4978
2011-05-26,Summer,2011,May,0,Thursday,1,Clear/Cloudy,3919,4677
2011-05-27,Summer,2011,May,0,Friday,1,Clear/Cloudy,3808,4679
2011-05-28,Summer,2011,May,0,Saturday,0,Clear/Cloudy,2757,4758
2011-05-29,Summer,2011,May,0,Sunday,0,Clear/Cloudy,2433,4788
2011-05-30,Summer,2011,May,1,Monday,0,Clear/Cloudy,2549,4098
2011-05-31,Summer,2011,May,0,Tuesday,1,Clear/Cloudy,3309,3982
2011-06-01,Summer,2011,June,0,Wednesday,1,Mist/Cloudy,3461,3974
2011-06-02,Summer,2011,June,0,Thursday,1,Clear/Cloudy,4232,4968
2011-06-03,Summer,2011,June,0,Friday,1,Clear/Cloudy,4414,5312
2011-06-04,Summer,2011,June,0,Saturday,0,Clear/Cloudy,3473,5342
2011-06-05,Summer,2011,June,0,Sunday,0,Mist/Cloudy,3221,4906
2011-06-06,Summer,2011,June,0,Monday,1,Clear/Cloudy,3875,4548
2011-06-07,Summer,2011,June,0,Tuesday,1,Clear/Cloudy,4070,4833
2011-06-08,Summer,2011,June,0,Wednesday,1,Clear/Cloudy,3725,4401
2011-06-09,Summer,2011,June,0,Thursday,1,Mist/Cloudy,3352,3915
2011-06-10,Summer,2011,June,0,Friday,1,Clear/Cloudy,3771,4586
2011-06-11,Summer,2011,June,0,Saturday,0,Clear/Cloudy,3237,4966
2011-06-12,Summer,2011,June,0,Sunday,0,Clear/Cloudy,2993,4460
2011-06-13,Summer,2011,June,0,Monday,1,Clear/Cloudy,4157,5020
2011-06-14,Summer,2011,June,0,Tuesday,1,Clear/Cloudy,4164,4891
2011-06-15,Summer,2011,June,0,Wednesday,1,Clear/Cloudy,4411,5180
2011-06-16,Summer,2011,June,0,Thursday,1,Mist/Cloudy,3222,3767
2011-06-17,Summer,2011,June,0,Friday,1,Clear/Cloudy,3981,4844
2011-06-18,Summer,2011,June,0,Saturday,0,Clear/Cloudy,3312,5119
2011-06-19,Summer,2011,June,0,Sunday,0,Mist/Cloudy,3105,4744
2011-06-20,Summer,2011,June,0,Monday,1,Mist/Cloudy,3311,4010
2011-06-21,Fall,2011,June,0,Tuesday,1,Mist/Cloudy,4061,4835
2011-06-22,Fall,2011,June,0,Wednesday,1,Clear/Cloudy,3846,4507
2011-06-23,Fall,2011,June,0,Thursday,1,Mist/Cloudy,4044,4790
2011-06-24,Fall,2011,June,0,Friday,1,Clear/Cloudy,4022,4991
2011-06-25,Fall,2011,June,0,Saturday,0,Clear/Cloudy,3420,5202
2011-06-26,Fall,2011,June,0,Sunday,0,Clear/Cloudy,3385,5305
2011-06-27,Fall,2011,June,0,Monday,1,Mist/Cloudy,3854,4708
2011-06-28,Fall,2011,June,0,Tuesday,1,Clear/Cloudy,3916,4648
2011-06-29,Fall,2011,June,0,Wednesday,1,Clear/Cloudy,4377,5225
2011-06-30,Fall,2011,June,0,Thursday,1,Clear/Cloudy,4488,5515
2011-07-01,Fall,2011,July,0,Friday,1,Clear/Cloudy,4116,5362
2011-07-02,Fall,2011,July,0,Saturday,0,Clear/Cloudy,2915,5119
2011-07-03,Fall,2011,July,0,Sunday,0,Mist/Cloudy,2367,4649
2011-07-04,Fall,2011,July,1,Monday,0,Mist/Cloudy,2978,6043
2011-07-05,Fall,2011,July,0,Tuesday,1,Clear/Cloudy,3634,4665
2011-07-06,Fall,2011,July,0,Wednesday,1,Clear/Cloudy,3845,4629
2011-07-07,Fall,2011,July,0,Thursday,1,Clear/Cloudy,3838,4592
2011-07-08,Fall,2011,July,0,Friday,1,Mist/Cloudy,3348,4040
2011-07-09,Fall,2011,July,0,Saturday,0,Clear/Cloudy,3348,5336
2011-07-10,Fall,2011,July,0,Sunday,0,Clear/Cloudy,3138,4881
2011-07-11,Fall,2011,July,0,Monday,1,Clear/Cloudy,3363,4086
2011-07-12,Fall,2011,July,0,Tuesday,1,Clear/Cloudy,3596,4258
2011-07-13,Fall,2011,July,0,Wednesday,1,Clear/Cloudy,3594,4342
2011-07-14,Fall,2011,July,0,Thursday,1,Clear/Cloudy,4196,5084
2011-07-15,Fall,2011,July,0,Friday,1,Clear/Cloudy,4220,5538
2011-07-16,Fall,2011,July,0,Saturday,0,Clear/Cloudy,3505,5923
2011-07-17,Fall,2011,July,0,Sunday,0,Clear/Cloudy,3296,5302
2011-07-18,Fall,2011,July,0,Monday,1,Clear/Cloudy,3617,4458
2011-07-19,Fall,2011,July,0,Tuesday,1,Clear/Cloudy,3789,4541
2011-07-20,Fall,2011,July,0,Wednesday,1,Clear/Cloudy,3688,4332
2011-07-21,Fall,2011,July,0,Thursday,1,Mist/Cloudy,3152,3784
2011-07-22,Fall,2011,July,0,Friday,1,Clear/Cloudy,2825,3387
2011-07-23,Fall,2011,July,0,Saturday,0,Clear/Cloudy,2298,3285
2011-07-24,Fall,2011,July,0,Sunday,0,Clear/Cloudy,2556,3606
2011-07-25,Fall,2011,July,0,Monday,1,Clear/Cloudy,3272,3840
2011-07-26,Fall,2011,July,0,Tuesday,1,Clear/Cloudy,3840,4590
2011-07-27,Fall,2011,July,0,Wednesday,1,Clear/Cloudy,3901,4656
2011-07-28,Fall,2011,July,0,Thursday,1,Clear/Cloudy,3784,4390
2011-07-29,Fall,2011,July,0,Friday,1,Clear/Cloudy,3176,3846
2011-07-30,Fall,2011,July,0,Saturday,0,Clear/Cloudy,2916,4475
2011-07-31,Fall,2011,July,0,Sunday,0,Clear/Cloudy,2778,4302
2011-08-01,Fall,2011,August,0,Monday,1,Clear/Cloudy,3537,4266
2011-08-02,Fall,2011,August,0,Tuesday,1,Clear/Cloudy,4044,4845
2011-08-03,Fall,2011,August,0,Wednesday,1,Mist/Cloudy,3107,3574
2011-08-04,Fall,2011,August,0,Thursday,1,Mist/Cloudy,3777,4576
2011-08-05,Fall,2011,August,0,Friday,1,Clear/Cloudy,3843,4866
2011-08-06,Fall,2011,August,0,Saturday,0,Mist/Cloudy,2773,4294
2011-08-07,Fall,2011,August,0,Sunday,0,Clear/Cloudy,2487,3785
2011-08-08,Fall,2011,August,0,Monday,1,Clear/Cloudy,3480,4326
2011-08-09,Fall,2011,August,0,Tuesday,1,Clear/Cloudy,3695,4602
2011-08-10,Fall,2011,August,0,Wednesday,1,Clear/Cloudy,3896,4780
2011-08-11,Fall,2011,August,0,Thursday,1,Clear/Cloudy,3980,4792
2011-08-12,Fall,2011,August,0,Friday,1,Clear/Cloudy,3854,4905
2011-08-13,Fall,2011,August,0,Saturday,0,Mist/Cloudy,2646,4150
2011-08-14,Fall,2011,August,0,Sunday,0,Mist/Cloudy,2482,3820
2011-08-15,Fall,2011,August,0,Monday,1,Clear/Cloudy,3563,4338
2011-08-16,Fall,2011,August,0,Tuesday,1,Clear/Cloudy,4004,4725
2011-08-17,Fall,2011,August,0,Wednesday,1,Clear/Cloudy,4026,4694
2011-08-18,Fall,2011,August,0,Thursday,1,Clear/Cloudy,3166,3805
2011-08-19,Fall,2011,August,0,Friday,1,Mist/Cloudy,3356,4153
2011-08-20,Fall,2011,August,0,Saturday,0,Clear/Cloudy,3277,5191
2011-08-21,Fall,2011,August,0,Sunday,0,Clear/Cloudy,2624,3873
2011-08-22,Fall,2011,August,0,Monday,1,Clear/Cloudy,3925,4758
2011-08-23,Fall,2011,August,0,Tuesday,1,Clear/Cloudy,4614,5895
2011-08-24,Fall,2011,August,0,Wednesday,1,Clear/Cloudy,4181,5130
2011-08-25,Fall,2011,August,0,Thursday,1,Mist/Cloudy,3107,3542
2011-08-26,Fall,2011,August,0,Friday,1,Clear/Cloudy,3893,4661
2011-08-27,Fall,2011,August,0,Saturday,0,Mist/Cloudy,889,1115
2011-08-28,Fall,2011,August,0,Sunday,0,Clear/Cloudy,2919,4334
2011-08-29,Fall,2011,August,0,Monday,1,Clear/Cloudy,3905,4634
2011-08-30,Fall,2011,August,0,Tuesday,1,Clear/Cloudy,4429,5204
2011-08-31,Fall,2011,August,0,Wednesday,1,Clear/Cloudy,4370,5058
2011-09-01,Fall,2011,September,0,Thursday,1,Clear/Cloudy,4332,5115
2011-09-02,Fall,2011,September,0,Friday,1,Mist/Cloudy,3852,4727
2011-09-03,Fall,2011,September,0,Saturday,0,Clear/Cloudy,2549,4484
2011-09-04,Fall,2011,September,0,Sunday,0,Clear/Cloudy,2419,4940
2011-09-05,Fall,2011,September,1,Monday,0,Mist/Cloudy,2115,3351
2011-09-06,Fall,2011,September,0,Tuesday,1,Light Snow/Light Rain/Cloudy,2506,2710
2011-09-07,Fall,2011,September,0,Wednesday,1,Light Snow/Light Rain/Cloudy,1878,1996
2011-09-08,Fall,2011,September,0,Thursday,1,Light Snow/Light Rain/Cloudy,1689,1842
2011-09-09,Fall,2011,September,0,Friday,1,Mist/Cloudy,3127,3544
2011-09-10,Fall,2011,September,0,Saturday,0,Clear/Cloudy,3595,5345
2011-09-11,Fall,2011,September,0,Sunday,0,Clear/Cloudy,3413,5046
2011-09-12,Fall,2011,September,0,Monday,1,Clear/Cloudy,4023,4713
2011-09-13,Fall,2011,September,0,Tuesday,1,Clear/Cloudy,4062,4763
2011-09-14,Fall,2011,September,0,Wednesday,1,Clear/Cloudy,4138,4785
2011-09-15,Fall,2011,September,0,Thursday,1,Mist/Cloudy,3231,3659
2011-09-16,Fall,2011,September,0,Friday,1,Mist/Cloudy,4018,4760
2011-09-17,Fall,2011,September,0,Saturday,0,Mist/Cloudy,3077,4511
2011-09-18,Fall,2011,September,0,Sunday,0,Clear/Cloudy,2921,4274
2011-09-19,Fall,2011,September,0,Monday,1,Mist/Cloudy,3848,4539
2011-09-20,Fall,2011,September,0,Tuesday,1,Mist/Cloudy,3203,3641
2011-09-21,Fall,2011,September,0,Wednesday,1,Mist/Cloudy,3813,4352
2011-09-22,Fall,2011,September,0,Thursday,1,Mist/Cloudy,4240,4795
2011-09-23,Winter,2011,September,0,Friday,1,Mist/Cloudy,2137,2395
2011-09-24,Winter,2011,September,0,Saturday,0,Mist/Cloudy,3647,5423
2011-09-25,Winter,2011,September,0,Sunday,0,Mist/Cloudy,3466,5010
2011-09-26,Winter,2011,September,0,Monday,1,Mist/Cloudy,3946,4630
2011-09-27,Winter,2011,September,0,Tuesday,1,Mist/Cloudy,3643,4120
2011-09-28,Winter,2011,September,0,Wednesday,1,Mist/Cloudy,3427,3907
2011-09-29,Winter,2011,September,0,Thursday,1,Clear/Cloudy,4186,4839
2011-09-30,Winter,2011,September,0,Friday,1,Clear/Cloudy,4372,5202
2011-10-01,Winter,2011,October,0,Saturday,0,Mist/Cloudy,1949,2429
2011-10-02,Winter,2011,October,0,Sunday,0,Mist/Cloudy,2302,2918
2011-10-03,Winter,2011,October,0,Monday,1,Mist/Cloudy,3240,3570
2011-10-04,Winter,2011,October,0,Tuesday,1,Clear/Cloudy,3970,4456
2011-10-05,Winter,2011,October,0,Wednesday,1,Clear/Cloudy,4267,4826
2011-10-06,Winter,2011,October,0,Thursday,1,Clear/Cloudy,4126,4765
2011-10-07,Winter,2011,October,0,Friday,1,Clear/Cloudy,4036,4985
2011-10-08,Winter,2011,October,0,Saturday,0,Clear/Cloudy,3174,5409
2011-10-09,Winter,2011,October,0,Sunday,0,Clear/Cloudy,3114,5511
2011-10-10,Winter,2011,October,1,Monday,0,Clear/Cloudy,3603,5117
2011-10-11,Winter,2011,October,0,Tuesday,1,Mist/Cloudy,3896,4563
2011-10-12,Winter,2011,October,0,Wednesday,1,Light Snow/Light Rain/Cloudy,2199,2416
2011-10-13,Winter,2011,October,0,Thursday,1,Mist/Cloudy,2623,2913
2011-10-14,Winter,2011,October,0,Friday,1,Mist/Cloudy,3115,3644
2011-10-15,Winter,2011,October,0,Saturday,0,Clear/Cloudy,3318,5217
2011-10-16,Winter,2011,October,0,Sunday,0,Clear/Cloudy,3293,5041
2011-10-17,Winter,2011,October,0,Monday,1,Clear/Cloudy,3857,4570
2011-10-18,Winter,2011,October,0,Tuesday,1,Mist/Cloudy,4111,4748
2011-10-19,Winter,2011,October,0,Wednesday,1,Light Snow/Light Rain/Cloudy,2170,2424
2011-10-20,Winter,2011,October,0,Thursday,1,Clear/Cloudy,3724,4195
2011-10-21,Winter,2011,October,0,Friday,1,Clear/Cloudy,3628,4304
2011-10-22,Winter,2011,October,0,Saturday,0,Clear/Cloudy,2809,4308
2011-10-23,Winter,2011,October,0,Sunday,0,Clear/Cloudy,2762,4381
2011-10-24,Winter,2011,October,0,Monday,1,Clear/Cloudy,3488,4187
2011-10-25,Winter,2011,October,0,Tuesday,1,Clear/Cloudy,3992,4687
2011-10-26,Winter,2011,October,0,Wednesday,1,Mist/Cloudy,3490,3894
2011-10-27,Winter,2011,October,0,Thursday,1,Mist/Cloudy,2419,2659
2011-10-28,Winter,2011,October,0,Friday,1,Mist/Cloudy,3291,3747
2011-10-29,Winter,2011,October,0,Saturday,0,Light Snow/Light Rain/Cloudy,570,627
2011-10-30,Winter,2011,October,0,Sunday,0,Clear/Cloudy,2446,3331
2011-10-31,Winter,2011,October,0,Monday,1,Clear/Cloudy,3307,3669
2011-11-01,Winter,2011,November,0,Tuesday,1,Clear/Cloudy,3658,4068
2011-11-02,Winter,2011,November,0,Wednesday,1,Clear/Cloudy,3816,4186
2011-11-03,Winter,2011,November,0,Thursday,1,Clear/Cloudy,3656,3974
2011-11-04,Winter,2011,November,0,Friday,1,Mist/Cloudy,3576,4046
2011-11-05,Winter,2011,November,0,Saturday,0,Clear/Cloudy,2770,3926
2011-11-06,Winter,2011,November,0,Sunday,0,Clear/Cloudy,2697,3649
2011-11-07,Winter,2011,November,0,Monday,1,Clear/Cloudy,3662,4035
2011-11-08,Winter,2011,November,0,Tuesday,1,Clear/Cloudy,3829,4205
2011-11-09,Winter,2011,November,0,Wednesday,1,Clear/Cloudy,3804,4109
2011-11-10,Winter,2011,November,0,Thursday,1,Mist/Cloudy,2743,2933
2011-11-11,Winter,2011,November,1,Friday,0,Clear/Cloudy,2928,3368
2011-11-12,Winter,2011,November,0,Saturday,0,Clear/Cloudy,2792,4067
2011-11-13,Winter,2011,November,0,Sunday,0,Clear/Cloudy,2713,3717
2011-11-14,Winter,2011,November,0,Monday,1,Clear/Cloudy,3891,4486
2011-11-15,Winter,2011,November,0,Tuesday,1,Mist/Cloudy,3746,4195
2011-11-16,Winter,2011,November,0,Wednesday,1,Light Snow/Light Rain/Cloudy,1672,1817
2011-11-17,Winter,2011,November,0,Thursday,1,Mist/Cloudy,2914,3053
2011-11-18,Winter,2011,November,0,Friday,1,Clear/Cloudy,3147,3392
2011-11-19,Winter,2011,November,0,Saturday,0,Clear/Cloudy,2720,3663
2011-11-20,Winter,2011,November,0,Sunday,0,Mist/Cloudy,2733,3520
2011-11-21,Winter,2011,November,0,Monday,1,Light Snow/Light Rain/Cloudy,2545,2765
2011-11-22,Winter,2011,November,0,Tuesday,1,Light Snow/Light Rain/Cloudy,1538,1607
2011-11-23,Winter,2011,November,0,Wednesday,1,Mist/Cloudy,2454,2566
2011-11-24,Winter,2011,November,1,Thursday,0,Clear/Cloudy,935,1495
2011-11-25,Winter,2011,November,0,Friday,1,Clear/Cloudy,1697,2792
2011-11-26,Winter,2011,November,0,Saturday,0,Clear/Cloudy,1819,3068
2011-11-27,Winter,2011,November,0,Sunday,0,Clear/Cloudy,2261,3071
2011-11-28,Winter,2011,November,0,Monday,1,Clear/Cloudy,3614,3867
2011-11-29,Winter,2011,November,0,Tuesday,1,Mist/Cloudy,2818,2914
2011-11-30,Winter,2011,November,0,Wednesday,1,Clear/Cloudy,3425,3613
2011-12-01,Winter,2011,December,0,Thursday,1,Clear/Cloudy,3545,3727
2011-12-02,Winter,2011,December,0,Friday,1,Clear/Cloudy,3672,3940
2011-12-03,Winter,2011,December,0,Saturday,0,Clear/Cloudy,2908,3614
